id,n_of_stars,date,text
1al,5.0,"jun 26th, 2020",fire product fire price
1al,5.0,"jun 25th, 2020",Valleyheat always comes through and then some...Thanks so much :)!
1al,5.0,"jun 25th, 2020","Unfortunately needed a reship, but the vendor was very responsive when messaged! Offered a reship with no issues, and order was as expected once received!"
1al,5.0,"jun 25th, 2020",Legit Fast ASF! <3 The best all around!
1al,5.0,"jun 24th, 2020",These cans are on point!! Stealth was super sturdy and the eye candy is crazy.Boofing soon as i poped the can! the goat came thru once again.
1al,5.0,"jun 24th, 2020","this was my first darknet purchase ever so went with something small just in case it was a scam...turns out it wasn't, package arrived packaged neatly, took me about 5 min to get thru to the goods as the stealth was top notch. Will be doing business again in the future thanks much."
1al,5.0,"jun 24th, 2020",Love the quality & price!
1al,5.0,"jun 24th, 2020","best stealth you will ever find< 
i dont mind if it takes longer, 
100% the best packing"
1al,5.0,"jun 24th, 2020",good stuff as always
1al,5.0,"jun 24th, 2020",This one came in on day 4. Great product as per usual.
1al,5.0,"jun 24th, 2020",4t2d. Very good bud at a very good price. Was a little dry tho. Still loud af and looks fancy.
1al,5.0,"jun 24th, 2020",Good packaging. Fast ship considering the lag in mail. I got the strain I wanted (PB breath). 2nd tin seemed to be last of bag but that would be on the source of the tins and not on VH
1al,5.0,"jun 24th, 2020","Quick ship and solid stealth. Haven't cracked open the cans yet, but I swear I can smell thru them."
1al,5.0,"jun 24th, 2020","6 days T2D & didn't get the flavors I wanted, but I think it's because he is having trouble keeping stock of this stuff... VH is my go-to vendor."
1al,5.0,"jun 24th, 2020",Decent experience overall. Prices beat most other vendors at the time.
1al,5.0,"jun 23rd, 2020","Bud is good, fragrant and potent but the tins seem a bit gimmicky to me lol. Weight was heavy on both tins, .3 over. Fast shipping and the variety will probably bring me back for more."
1al,5.0,"jun 23rd, 2020",fire bud and super fast shipping
1al,5.0,"jun 23rd, 2020",has a good smell and it does the trick. Great quality for the price
1al,5.0,"jun 23rd, 2020",Quick and stealthy shipping
1al,5.0,"jun 22nd, 2020",second time using VH. ill be back again n again. very boutique type vendor lots of offerings
1al,5.0,"jun 22nd, 2020",Excellent stealth!
1al,5.0,"jun 22nd, 2020","thanks , on point with the quickness 10 out of 10"
1al,5.0,"jun 22nd, 2020",Good bud for a great price. Will be back in future!
1al,5.0,"jun 21st, 2020",Fire as usual!
1al,5.0,"jun 20th, 2020",Super speedy delivery! Beautifully packed! GAS!
1al,5.0,"jun 20th, 2020",Lemoncello on point. Ordered and he forgot to pack them :( messaged that day and he re shipped this part of the package took over 8 days. A little disappointed but VH never messes up like that so I will for sure let it slide every time
1al,5.0,"jun 20th, 2020","Got 2 strains, lil stemmy but for 25 a eighth it’s very good, the strain I smoke actually tasted like peanut butter lol"
1al,5.0,"jun 20th, 2020",Shit hits like a truck
1al,5.0,"jun 19th, 2020",Good weed. thanks vh
1al,5.0,"jun 19th, 2020","Looks great, stealth was above and beyond"
1al,5.0,"jun 18th, 2020","fire all day... I really like these cans. small nugs, really nice buzz."
1al,5.0,"jun 18th, 2020",Definitely straight for the price. Ill be back
