name,id,amount,price,category,main_product_name,main_product_id,shipping_from,ratings,vendor
,pzh,7 g,$69.99,flowers,*A Grade TOP Shelf* 1 OZ Indica Moonrocks,lqt,United States,17,iamlegend1
,pzl,14 g,$149.99,flowers,*A Grade TOP Shelf* 1 OZ Indica Moonrocks,lqt,United States,17,iamlegend1
*A Grade TOP Shelf* 1 OZ Indica Moonrocks,lqt,28 g,$234.99,flowers,*A Grade TOP Shelf* 1 OZ Indica Moonrocks,lqt,United States,17,iamlegend1
,ogx,112 g,$849.99,flowers,*A Grade TOP Shelf* 1 OZ Indica Moonrocks,lqt,United States,17,iamlegend1
,pz9,224 g,"$1,499.99",flowers,*A Grade TOP Shelf* 1 OZ Indica Moonrocks,lqt,United States,17,iamlegend1
,pzd,448 g,"$2,749.99",flowers,*A Grade TOP Shelf* 1 OZ Indica Moonrocks,lqt,United States,17,iamlegend1
Tip Jar,gr4,,$1,flowers,Tip Jar,gr4,United States,17,grownlocally
4g Master Yoda Medical Grade Indica,3h4,4 grams,$41,flowers,4g Master Yoda Medical Grade Indica,3h4,United States,71,green_usa
,3h8,10 grams,$105,flowers,4g Master Yoda Medical Grade Indica,3h4,United States,71,green_usa
28g Sour OG,qrf,28 grams,$170,flowers,28g Sour OG,qrf,United States,16,TinySnail
,qw3,56 grams,$340,flowers,28g Sour OG,qrf,United States,16,TinySnail
,qw7,112 grams,$650,flowers,28g Sour OG,qrf,United States,16,TinySnail
,qwb,224 grams,"$1,275",flowers,28g Sour OG,qrf,United States,16,TinySnail
,qwf,448 grams,"$2,450",flowers,28g Sour OG,qrf,United States,16,TinySnail
Skunk #1 sk/28 Grams,4yg,28 grams,$171.88,flowers,Skunk #1 sk/28 Grams,4yg,Anguilla,53,DarkAngus
,4yk,112 grams,$662.50,flowers,Skunk #1 sk/28 Grams,4yg,Anguilla,53,DarkAngus
,4yo,225 grams,"$1,275",flowers,Skunk #1 sk/28 Grams,4yg,Anguilla,53,DarkAngus
,4ys,450 grams,"$2,350",flowers,Skunk #1 sk/28 Grams,4yg,Anguilla,53,DarkAngus
*** 1 lb Shake ***,6o9,,$340,flowers,*** 1 lb Shake ***,6o9,United States,71,NancyBotwin2019
,r04,28 grams,$144,flowers,Chemdog,qzw,United States,15,GreenOutlet
,r00,56 grams,$284,flowers,Chemdog,qzw,United States,15,GreenOutlet
Chemdog,qzw,112 grams,$561,flowers,Chemdog,qzw,United States,15,GreenOutlet
,qzs,224 grams,"$1,108",flowers,Chemdog,qzw,United States,15,GreenOutlet
,qzo,448 grams,"$2,188",flowers,Chemdog,qzw,United States,15,GreenOutlet
3.5g Blue Dream Indoor,pgs,3.5 grams,$35,flowers,3.5g Blue Dream Indoor,pgs,United States,15,StrainPirate
,pgw,1 ounce,$250,flowers,3.5g Blue Dream Indoor,pgs,United States,15,StrainPirate
Apple Fritters 1/8 oz,ms3,4 grams,$60,flowers,Apple Fritters 1/8 oz,ms3,United States,15,outerviscera
,n3c,0.5 ounce,$220,flowers,Apple Fritters 1/8 oz,ms3,United States,15,outerviscera
,n3g,1 ounce,$400,flowers,Apple Fritters 1/8 oz,ms3,United States,15,outerviscera
The BoomBox - Blasted Into Space Edition,g9r,,$500,flowers,The BoomBox - Blasted Into Space Edition,g9r,United States,15,ChipChipperson
28g Grease Cakes,m6j,28 grams,$185,flowers,28g Grease Cakes,m6j,United States,101,TinySnail
,m6n,56 grams,$370,flowers,28g Grease Cakes,m6j,United States,101,TinySnail
,m6r,112 grams,$700,flowers,28g Grease Cakes,m6j,United States,101,TinySnail
,m6v,224 grams,"$1,375",flowers,28g Grease Cakes,m6j,United States,101,TinySnail
,m6z,448 grams,"$2,700",flowers,28g Grease Cakes,m6j,United States,101,TinySnail
28g Top Shelf Platinum Bubba Indoor Fire,4kw,28 grams,$175,flowers,28g Top Shelf Platinum Bubba Indoor Fire,4kw,United States,813,TinySnail
,4l0,56 grams,$350,flowers,28g Top Shelf Platinum Bubba Indoor Fire,4kw,United States,813,TinySnail
,4l4,112 grams,$675,flowers,28g Top Shelf Platinum Bubba Indoor Fire,4kw,United States,813,TinySnail
,4l8,224 grams,"$1,300",flowers,28g Top Shelf Platinum Bubba Indoor Fire,4kw,United States,813,TinySnail
,4lc,448 grams,"$2,450",flowers,28g Top Shelf Platinum Bubba Indoor Fire,4kw,United States,813,TinySnail
$1 Tip jar :),3za,,$1,flowers,$1 Tip jar :),3za,United States,207,TinySnail
Tip Jar,4sq,,$1,flowers,Tip Jar,4sq,United States,19,TheResistance
,qog,56 g,$360,flowers,Exotic Light Deps! 2 strains available. Want a Combo?,oww,United States,59,William_Shatner
,ox7,112 g,$620,flowers,Exotic Light Deps! 2 strains available. Want a Combo?,oww,United States,59,William_Shatner
,ox0,224 g,"$1,150",flowers,Exotic Light Deps! 2 strains available. Want a Combo?,oww,United States,59,William_Shatner
Exotic Light Deps! 2 strains available. Want a Combo?,oww,1 lbs,"$2,200",flowers,Exotic Light Deps! 2 strains available. Want a Combo?,oww,United States,59,William_Shatner
,ox3,2 lbs+,"$2,150 / lbs",flowers,Exotic Light Deps! 2 strains available. Want a Combo?,oww,United States,59,William_Shatner
,pl7,3 lbs+,"$2,125 / lbs",flowers,Exotic Light Deps! 2 strains available. Want a Combo?,oww,United States,59,William_Shatner
4g Dark Knight Medical Grade Indica,2ws,4 grams,$42,flowers,4g Dark Knight Medical Grade Indica,2ws,United States,12,green_usa
,2wu,7 grams,$69,flowers,4g Dark Knight Medical Grade Indica,2ws,United States,12,green_usa
,2ww,10 grams,$105,flowers,4g Dark Knight Medical Grade Indica,2ws,United States,12,green_usa
,l2b,7 g,$90,flowers,OZ EXXXOTIC SHELF (YOU PICK),kmk,United States,93,WeedNation
,l27,14 g,$160,flowers,OZ EXXXOTIC SHELF (YOU PICK),kmk,United States,93,WeedNation
OZ EXXXOTIC SHELF (YOU PICK),kmk,1 oz,$300,flowers,OZ EXXXOTIC SHELF (YOU PICK),kmk,United States,93,WeedNation
,lj4,2 oz,$550,flowers,OZ EXXXOTIC SHELF (YOU PICK),kmk,United States,93,WeedNation
